,ch_n,ch_e,station_name,lat,lon,commune_id,name,canton
788,1266389.525,2611293.17,Basel SBB,47.5481300421,7.588638653069999,2701.0,Basel,BS
789,1266324.379,2611381.162,Basel SBB,47.5475426262,7.58980586623,2701.0,Basel,BS
790,1266323.618,2611381.988,Basel SBB,47.5475357678,7.589816819189999,2701.0,Basel,BS
791,1266323.422,2611383.141,Basel SBB,47.5475339851,7.58983213029,2701.0,Basel,BS
792,1266320.66,2611380.64,Basel SBB,47.5475091875,7.5897988375,2701.0,Basel,BS
793,1268827.558,2610041.432,Basel St. Johann,47.5700771809,7.57206548885,2701.0,Basel,BS
794,1266331.192,2611372.275,Basel SBB,47.5476040536,7.5896879873600005,2701.0,Basel,BS
795,1266321.878,2611381.734,Basel SBB,47.547520123000005,7.58981340084,2701.0,Basel,BS
796,1266319.856,2611381.446,Basel SBB,47.5475019427,7.5898095236800005,2701.0,Basel,BS
797,1266320.0520000001,2611380.249,Basel SBB,47.5475037261,7.5897936281,2701.0,Basel,BS
798,1266324.205,2611382.359,Basel SBB,47.5475410407,7.589821762380001,2701.0,Basel,BS
799,1266330.801,2611372.8619999997,Basel SBB,47.5476005269,7.58969577495,2701.0,Basel,BS
800,1266320.943,2611379.445,Basel SBB,47.5475117533,7.589782970700001,2701.0,Basel,BS
801,1266376.288,2611282.1040000003,Basel SBB,47.5480111813,7.58849132018,2701.0,Basel,BS
802,1246882.897,2648583.925,Suhr,47.3709958957,8.08186763266,4012.0,Suhr,AG
803,1241698.0320000001,2643880.465,Kolliken Oberdorf,47.3246925405,8.01908964729,4276.0,Kölliken,AG
804,1245223.6909999999,2646043.227,Oberentfelden,47.3562552687,8.04806013739,4010.0,Oberentfelden,AG
805,1241136.929,2639658.914,Walterswil-Striegel,47.319912998999996,7.96319788982,4280.0,Oftringen,AG
806,1239172.7340000002,2638060.43,Kungoldingen,47.3023406336,7.94188873961,4280.0,Oftringen,AG
807,1241345.6090000002,2641180.22,Safenwil,47.3216967666,7.983338851719999,4283.0,Safenwil,AG
808,1243113.5929999999,2644424.955,Kolliken,47.33738784810001,8.02643221482,4276.0,Kölliken,AG
809,1249116.3490000002,2631526.511,Laufelfingen,47.392119683400004,7.8561929703499995,2852.0,Läufelfingen,BL
810,1250988.695,2630879.6890000002,Buckten,47.4089902822,7.84775508002,2843.0,Buckten,BL
811,1246241.2179999999,2635173.578,Trimbach,47.3660760902,7.90427157375,2500.0,Trimbach,SO
812,1244736.8190000001,2635409.091,Olten,47.352532716700004,7.9072705446,2581.0,Olten,SO
813,1252814.871,2631078.127,Rumlingen,47.425405618999996,7.85051098839,2859.0,Rümlingen,BL
814,1244732.563,2635390.531,Olten,47.3524954331,7.90702456985,2581.0,Olten,SO
815,1255493.539,2630097.014,Diepflingen,47.449542987799994,7.83768851613,2845.0,Diepflingen,BL
816,1254329.707,2631137.1,Sommerau,47.439027231400004,7.85139801288,2846.0,Gelterkinden,BL
817,1244686.105,2635391.839,Olten,47.35207751229999,7.90703821501,2581.0,Olten,SO
818,1266286.826,2611438.626,Basel SBB,47.5472038919,7.590568239460001,2701.0,Basel,BS
819,1264778.32,2615774.652,Muttenz,47.5335473604,7.648112901039999,2770.0,Muttenz,BL
820,1263573.9209999999,2619066.915,Pratteln,47.5226282712,7.69178317453,2831.0,Pratteln,BL
821,1259316.528,2622090.955,Liestal,47.484243579799994,7.731723898010001,2829.0,Liestal,BL
822,1241153.13,2635475.77,Aarburg-Oftringen,47.320296716,7.9078697383800005,4271.0,Aarburg,AG
823,1237592.549,2638139.603,Zofingen,47.288123436499994,7.94280148783,4289.0,Zofingen,AG
824,1234677.312,2639278.963,Brittnau-Wikon,47.2618360984,7.957607865439999,1147.0,Wikon,LU
825,1227051.539,2640827.364,Nebikon,47.193152861099996,7.97737467363,1137.0,Nebikon,LU
826,1224645.145,2649986.004,Sursee,47.1708802004,8.09795774,1103.0,Sursee,LU
827,1224626.261,2649967.923,Sursee,47.170711714700005,8.097717166989998,1103.0,Sursee,LU
828,1222944.402,2651215.383,Oberkirch LU,47.15548896520001,8.113979841319999,1095.0,Oberkirch,LU
829,1215564.805,2661544.38,Rothenburg,47.0882342145,8.249169377989999,1040.0,Rothenburg,LU
830,1215886.97,2663361.389,Rothenburg Dorf,47.090960646899994,8.27314271378,1024.0,Emmen,LU
831,1213640.133,2664082.374,Emmenbrucke,47.070682301800005,8.282319786339999,1024.0,Emmen,LU
832,1211379.882,2666201.228,Luzern,47.0501443906,8.30988343031,1061.0,Luzern,LU
833,1211385.312,2666229.491,Luzern,47.0501904079,8.31025615342,1061.0,Luzern,LU
834,1266273.5729999999,2611342.623,Basel SBB,47.547086353699996,7.58929263747,2701.0,Basel,BS
835,1264776.994,2615773.938,Muttenz,47.533535451800006,7.6481033721700005,2770.0,Muttenz,BL
836,1263573.866,2619068.4280000003,Pratteln,47.5226277328,7.69180326091,2831.0,Pratteln,BL
837,1259361.264,2622011.6969999997,Liestal,47.4846485815,7.730674522519999,2829.0,Liestal,BL
838,1257788.373,2624201.586,Lausen,47.4704253979,7.759644516130001,2828.0,Lausen,BL
839,1244620.1670000001,2635501.774,Olten,47.351478550799996,7.908487956930001,2581.0,Olten,SO
840,1225657.251,2648211.7630000003,St. Erhard-Knutwil,47.1801151688,8.07466418709,1089.0,Knutwil,LU
841,1215511.242,2661633.398,Rothenburg,47.0877441709,8.2503343671,1040.0,Rothenburg,LU
842,1213670.008,2664083.5209999997,Emmenbrucke,47.0709508999,8.28233911388,1024.0,Emmen,LU
843,1211372.614,2666192.576,Luzern,47.050079882700004,8.30976851195,1061.0,Luzern,LU
